year,tfr,brate_all,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044,brate_whitenh,brate_blacknh,brate_hisp,brate_hsdropout,brate_hsgrad,brate_somecol,brate_colgrad,brate_unmarried,brate_married,pct_unmarried,brate_native_mex,brate_foreign_mex,brate_native_hisp_nonmex,brate_foreign_hisp_nonmex
2018,1.73,59.1,17.4,68,95.3,99.7,52.6,11.8,56.3,62,65.9,99.6,74.8,61.7,61.1,40.1,85.6,39.6,51.2,75.1,72.9,80.7
2019,1.71,58.3,16.7,66.6,93.7,98.3,52.8,12,55.3,61.4,65.3,97.5,73.5,62.3,59.4,39.9,84,40,52.3,71.7,67.8,84.7
2020,1.64,55.8,15.3,62.8,90,94.8,51.7,11.8,53.2,59,62.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
